,E_SCALED,E_SCALED_ERR,FE_H,FE_H_ERR,ALPHA_FE,ALPHA_FE_ERR,AL_FE,AL_FE_ERR,CE_FE,CE_FE_ERR,MG_MN,MG_MN_ERR
985,-1.6241980082277698,0.014882792170908942,-0.61158,0.007888152,-0.32699502,0.011394249,0.279841,0.02004328,-0.19946998,0.08768161,0.49789098,0.02427758
986,-1.811366753950017,0.02482900658433835,-0.33519,0.016742088,-0.087194994,0.020074539,0.18466419,0.047841404,-0.24852002,0.0966293,0.40359098,0.038502168
987,-0.5050573197387653,0.7293041365791537,-1.184,0.010780283,-0.943545,0.015622161,-0.26731896,0.023759704,-0.46296,0.05169749,0.46797103,0.03427829
988,-1.1297420121247117,0.1322109726774112,-1.3348,0.015662042,-1.106275,0.02538767,-0.227319,0.040699527,-0.08995998,0.12877853,0.46832097,0.059776567
989,-1.55403152343733,0.03242869004923254,-0.62407,0.014670359,-0.501065,0.018335737,-0.05918902,0.037830718,0.08771002,0.07150892,0.30021703,0.036794003
990,-1.7017231132398085,0.0170836112795012,-1.0397,0.009053678,-0.82141507,0.0144878775,-0.195019,0.022006446,-0.17685997,0.08993241,0.61553097,0.032487985
991,-1.7503873121318867,0.042466204855389225,-0.52103,0.0085853785,-0.297535,0.011176656,0.175201,0.020531742,-0.15402001,0.055084173,0.406851,0.022410894
992,-1.782345821112193,0.016666295089636404,-1.1644,0.01610762,-0.98834497,0.023835815,-0.15611911,0.042125285,-0.20176005,0.11278021,0.419919,0.05445192
993,-1.7957332157426613,0.005845927467100846,-0.40665,0.008149543,-0.12819499,0.010511192,0.302683,0.019888664,0.0138500035,0.057997197,0.491431,0.020811133
994,-1.6614594443524489,0.015225910811254725,-0.62475,0.010946112,-0.467685,0.01364585,-0.027828932,0.02550125,-0.0916,0.04545351,0.32387102,0.02672895
995,-1.849818158632297,0.00795474811885797,-0.60961,0.014703835,-0.35770503,0.019737968,0.21573102,0.042659357,-0.16881001,0.13820119,0.55678093,0.042182073
996,-1.822783133574192,0.013507003426072481,-0.42439,0.015028831,-0.16568497,0.018763421,0.22265399,0.04268588,0.269281,0.10554396,0.499361,0.03759625
997,-1.5222490303393539,0.04749332639935252,-1.2557,0.0147630945,-1.048345,0.02260477,-0.184219,0.037341505,-0.33366,0.10387697,0.48925102,0.052005295
998,-1.834778035040697,0.0046574817863412315,-0.56679,0.00970479,-0.313455,0.011828542,0.14985096,0.021516046,-0.15384,0.03425141,0.31436098,0.022360474
999,-1.3412921752916818,0.043181425432081234,-1.1779,0.01070067,-0.969005,0.015471919,-0.1733191,0.02365384,-0.16856003,0.05203515,0.446051,0.033888448
1000,-1.7828923133186059,0.006865850276105339,-0.68282,0.009597765,-0.41157502,0.012224375,0.11730105,0.021662284,-0.16047996,0.04178257,0.466181,0.024260405
1001,-1.8366560325467791,0.006571036429166998,-0.38027,0.015142774,-0.145375,0.019113025,0.19467199,0.044670355,-0.08187002,0.12693103,0.44049102,0.03874821
1002,-1.5216050365900222,0.01772465963661467,-1.8663,0.016046606,-1.545005,0.031306203,-0.23281896,0.039729103,-0.16446006,0.14081672,0.352041,0.07634331
1003,-1.6876614002439188,0.007457191771355865,-0.09401,0.00889339,-0.016766004,0.010706887,0.0029569939,0.022779735,0.0032289997,0.058261976,0.116454996,0.019703688
1004,-1.506661861432558,0.03522023139173456,-1.3386,0.012623788,-1.1587651,0.0210162,-0.307119,0.031413924,-0.34765995,0.11000768,0.568627,0.04894093
1005,-1.2719743271662995,0.054018015217290084,-1.4683,0.011413117,-1.213665,0.018173909,-0.2976191,0.024931809,-0.36816,0.059680004,0.48183107,0.041565187
1006,-1.6726709838055784,0.01940343820233917,-1.0406,0.01109117,-0.85169494,0.017085439,-0.19531906,0.02791488,0.19359994,0.09933884,0.40778095,0.038451668
1007,-1.240196397428435,0.06002138690504318,-1.2148,0.010262083,-1.013985,0.0158165,-0.26621902,0.023401257,-0.16336,0.06615771,0.39856088,0.035443615
1008,-1.4575769697780054,0.03743085803874958,-1.3617,0.011677528,-1.1213751,0.017137635,-0.28151894,0.02487405,-0.26805997,0.04664057,0.46055102,0.03810693
1009,-1.7570593774312595,0.006736370058716566,-0.73287,0.008742262,-0.40073496,0.012238826,0.27640098,0.021057958,-0.26454002,0.067162775,0.598791,0.025877148
1010,-1.7680631966735914,0.004958095935258316,-1.1503,0.010885349,-0.821695,0.015174289,0.293041,0.02369644,0.06384003,0.0454838,0.5351411,0.032638352
1011,-1.7120053572388931,0.012282873896063829,-0.76662,0.009638569,-0.48039496,0.012641124,0.21800095,0.02187634,-0.007890046,0.046107613,0.519371,0.025767047
1012,-1.5492936595604219,0.03514626467781054,-1.1313,0.010201254,-0.89213496,0.015148764,-0.19781911,0.023167467,-0.15526009,0.060735416,0.4950409,0.033442426
1013,-1.7582168600676737,0.008363416120519105,-1.2758,0.010498305,-1.051955,0.016392916,-0.08681905,0.023746543,-0.018260002,0.06570807,0.489411,0.036975786
1014,-1.5154775912397211,0.04412827319898745,-1.5216,0.011853806,-1.247805,0.018707478,-0.297719,0.025410565,-0.27375996,0.054723736,0.5943811,0.042820025
1015,-1.2896365040831304,0.14350827401859198,-1.0093,0.010395017,-0.82643497,0.014341824,-0.19871902,0.023060001,-0.025059938,0.047724586,0.410181,0.030526148
1016,-1.5566429434759286,0.05256390568532108,-0.91076,0.018347947,-0.792569,0.024553062,-0.25085908,0.049675602,-0.22429997,0.10672107,0.306975,0.05343664
1017,-1.6767048233830113,0.010488876777189144,-0.69458,0.009366836,-0.57412803,0.012301381,-0.09241897,0.021546727,-0.28351998,0.04865921,0.33372104,0.025039084
1018,-1.232688503387198,0.039645080241396284,-0.59326,0.009463354,-0.293755,0.011800547,0.279061,0.021370666,-0.15284002,0.039402094,0.50921106,0.022877771
1019,-1.6350474250268348,0.017589453639919955,-0.95659,0.010588786,-0.82721496,0.014077173,-0.24232906,0.023096917,-0.07203001,0.041074734,0.37498307,0.029250732
1020,-1.6749247334352912,0.017439431698799163,-0.39976,0.017461352,-0.293356,0.020785296,0.00841099,0.048694503,-0.0537,0.085857816,0.156724,0.039586563
1021,-1.6541129228964466,0.011313058585455293,-0.85558,0.013246684,-0.709565,0.019735465,-0.25480902,0.037146922,0.022599936,0.1477103,0.30116403,0.044399142
1022,-1.4301435681234453,0.04754676890814357,-1.2098,0.01371005,-0.970955,0.022424877,-0.22611904,0.036481682,0.15294003,0.14146928,0.5612711,0.052292924
1023,-1.710054649232577,0.022854749434264517,-0.71504,0.009495492,-0.419595,0.013519179,0.23291102,0.024133055,-0.37931997,0.08723513,0.600641,0.02901133
1024,-1.5968666279772885,0.04502272581930462,-0.27812,0.009557722,-0.15055501,0.011594305,0.066520005,0.023540583,-0.04269001,0.05145929,0.20410801,0.021699917
1025,-1.7221610501802282,0.00655148382825093,-1.1167,0.010682154,-0.924175,0.015793618,-0.12421894,0.024716465,-0.057959914,0.06531024,0.43230605,0.03491783
1026,-1.676201712545103,0.005724047494102997,-0.80766,0.010640275,-0.701498,0.016450524,-0.020588994,0.029327625,-0.3728,0.1434768,0.25995398,0.036877573
1027,-1.3954371140037751,0.03099068344435684,-1.2418,0.014518207,-1.038445,0.02331378,-0.36201906,0.038225118,-0.06346011,0.13239594,0.5141109,0.054368686
1028,-1.6196362382975462,0.02158836843441299,-0.43158,0.011054664,-0.13015503,0.013589898,0.327167,0.02748558,-0.28428,0.05674881,0.45721102,0.02616267
1029,-1.5233305879819334,0.023975946972031526,-1.5265,0.01581596,-1.360865,0.024776198,-0.374519,0.037225794,-0.22645998,0.0816154,0.533651,0.057894297
1030,-1.4400882221964957,0.045924042609496826,-1.6366,0.011908903,-1.395035,0.02010527,-0.34091902,0.025760036,-0.18016005,0.063488685,0.561761,0.046862293
1031,-1.716270493788279,0.011288038918290697,-1.2754,0.010654146,-1.065615,0.016342836,-0.25301898,0.023861827,-0.24115992,0.06128952,0.4536631,0.036686648
1032,-1.5736533613330006,0.022979331547192706,-0.92236,0.015250629,-0.837765,0.020584367,-0.32885903,0.039112713,-0.11142999,0.08552335,0.312779,0.044424154
1033,-1.7450452493227244,0.006318908517113741,-0.4636,0.008041761,-0.34409,0.010773971,0.111631006,0.019930335,-0.11429998,0.067637995,0.24676698,0.021977281
1034,-1.5986367301548232,0.0104257785991719,-1.1753,0.009942203,-1.017525,0.015348643,0.047660947,0.023009365,0.14533997,0.07014814,0.4488821,0.034315925
1035,-1.7390758996348898,0.01075784398826945,-0.75345,0.011247093,-0.46998495,0.015324228,0.29490098,0.02831262,-0.058400035,0.07803864,0.55747104,0.03246985
1036,-1.5815158850422348,0.011909500470705823,-1.7791,0.013342465,-1.521465,0.026042152,-0.34321904,0.03171992,-0.070960045,0.11692525,0.01770103,0.06251589
1037,-1.7443247690123511,0.006509031073422666,-0.55046,0.008699106,-0.25928497,0.011322236,0.30139098,0.020653147,-0.26134002,0.053552296,0.500431,0.022725077
1038,-1.7061123016626096,0.010596732706107724,-1.1263,0.010271816,-0.816795,0.016123755,0.189901,0.024953853,-0.041460037,0.088191256,0.6618811,0.036315177
1039,-1.610570297992143,0.026376695797035353,-1.4769,0.01341452,-1.238615,0.02185068,-0.2587191,0.031573392,-0.07985997,0.08544607,0.5442209,0.05092274
1040,-1.646335466292787,0.008762050331154606,-0.80627,0.012502122,-0.647355,0.047300138,-0.08939898,0.0351285,-0.31479,0.14762028,0.675021,0.04165264
1041,-1.7173948698164694,0.007003168900741439,-0.52781,0.014881267,-0.24200499,0.019460877,0.292996,0.04314326,-0.51173997,0.1296117,0.553131,0.04077078
1042,-1.6340054277835152,0.016699853633705353,-0.74772,0.008590055,-0.589975,0.012314165,0.07756102,0.020960163,-0.25245,0.07412804,0.34702098,0.026333125
1043,-1.6953357486551486,0.01362602400364005,-0.37728,0.012236153,-0.18538499,0.015657896,0.273527,0.03430006,-0.12492001,0.10445107,0.341681,0.0316673
1044,-1.6546899924725733,0.007741073713250516,-1.6534,0.011609786,-1.365325,0.020236617,-0.21121907,0.025534134,-0.12716007,0.07114704,0.56002104,0.04735538
1045,-1.7097957009958054,0.009580376118342828,-0.78908,0.012220875,-0.494435,0.01671378,0.16881102,0.03150423,0.015540004,0.08751031,0.59428096,0.035727903
1046,-1.4604324622756493,0.02446408656360145,-0.92228,0.014049678,-0.755495,0.020988924,-0.23953897,0.039105177,-0.24897999,0.1451148,0.49813104,0.047519457
1047,-1.3493711914868274,0.028780372355382132,-1.1942,0.011327097,-0.89570504,0.019430071,0.103351,0.029916745,0.0003399849,0.14470832,0.710211,0.045077484
1048,-1.1836429720800177,0.1218141867056104,-1.1665,0.010450183,-0.96634495,0.01656705,-0.15611911,0.02512713,-0.23486006,0.08625028,0.45509708,0.03749142
1049,-1.2408110628556512,0.06557977436625602,-1.2272,0.023134701,-1.018975,0.039962664,-0.15161896,0.06406182,-0.19695997,0.13745676,0.52834105,0.076509036
